,0,class_label,target_label
148,0.546,0,1
149,0.875,0,1
150,0.279,0,1
151,0.797,0,1
152,0.713,0,1
153,0.841,0,1
154,0.793,0,1
155,0.875,0,1
156,0.578,0,1
157,0.736,0,1
158,0.711,0,1
159,0.802,0,1
160,0.736,0,1
161,0.558,0,1
162,0.673,0,1
163,0.689,0,1
164,0.714,0,1
165,0.387,0,1
166,0.413,0,1
167,0.58,0,1
168,0.639,0,1
169,0.543,0,1
170,0.155,0,1
171,0.589,0,1
172,0.489,0,1
173,0.49,0,1
174,0.908,0,1
175,0.773,0,1
176,0.976,0,1
177,0.966,0,1
178,0.634,0,1
179,0.515,0,1
180,0.692,0,1
181,0.536,0,1
182,0.569,0,1
183,0.796,0,1
184,0.726,0,1
185,0.882,0,1
186,0.781,0,1
187,0.215,0,1
188,0.698,0,1
189,0.756,0,1
190,0.852,0,1
191,0.677,0,1
192,0.452,0,1
193,0.437,0,1
194,0.086,0,1
195,0.773,0,1
196,0.605,0,1
197,0.412,0,1
198,0.465,0,1
199,0.419,0,1
200,0.735,0,1
201,0.415,0,1
202,0.725,0,1
203,0.678,0,1
204,0.866,0,1
205,0.289,0,1
206,0.11,0,1
207,0.516,0,1
208,0.863,0,1
209,0.855,0,1
210,0.727,0,1
211,0.887,0,1
212,0.77,0,1
213,0.438,0,1
214,0.916,0,1
215,0.68,0,1
216,0.276,0,1
217,0.654,0,1
218,0.842,0,1
219,0.696,0,1
220,0.38,0,1
221,0.609,0,1
222,0.675,0,1
223,0.541,0,1
224,0.175,0,1
225,0.572,0,1
226,0.629,0,1
227,0.754,0,1
228,0.866,0,1
229,0.83,0,1
230,0.664,0,1
231,0.881,0,1
232,0.367,0,1
233,0.879,0,1
234,0.624,0,1
235,0.364,0,1
236,0.883,0,1
237,0.227,0,1
238,0.803,0,1
239,0.776,0,1
240,0.731,0,1
241,0.523,0,1
242,0.813,0,1
243,0.809,0,1
244,0.699,0,1
245,0.548,0,1
246,0.591,0,1
247,0.689,0,1
