score,taget
0.643,1.0
0.942,1.0
0.17,1.0
0.705,1.0
0.144,1.0
0.371,1.0
0.98,1.0
0.545,1.0
0.951,1.0
0.936,1.0
0.879,1.0
0.336,1.0
0.818,1.0
0.704,1.0
0.184,1.0
0.964,1.0
0.656,1.0
0.508,1.0
0.231,1.0
1.0,1.0
0.267,1.0
0.706,1.0
0.51,1.0
0.62,1.0
0.514,1.0
1.0,1.0
0.353,1.0
0.523,1.0
0.305,1.0
0.637,1.0
0.115,1.0
0.153,1.0
0.253,1.0
0.613,1.0
0.421,1.0
1.0,1.0
0.114,1.0
0.686,1.0
0.779,1.0
0.519,1.0
0.62,1.0
0.972,1.0
0.777,1.0
0.146,1.0
0.345,1.0
0.203,1.0
0.303,1.0
0.864,1.0
0.562,1.0
0.466,1.0
1.0,1.0
1.0,1.0
0.28,1.0
1.0,1.0
0.645,1.0
1.0,1.0
0.348,1.0
0.777,1.0
0.771,1.0
0.287,1.0
0.355,1.0
0.743,1.0
0.173,1.0
0.339,1.0
0.259,1.0
0.734,1.0
0.793,1.0
0.583,1.0
0.334,1.0
0.537,1.0
0.287,1.0
0.646,1.0
0.874,1.0
1.0,1.0
0.564,1.0
0.879,1.0
0.935,1.0
0.33,1.0
0.826,1.0
0.251,1.0
0.226,1.0
0.369,1.0
0.556,1.0
0.981,1.0
0.819,1.0
0.854,1.0
0.699,1.0
0.666,1.0
0.669,1.0
0.394,1.0
0.798,1.0
0.869,1.0
0.19,1.0
0.14,1.0
0.517,1.0
0.68,1.0
0.168,1.0
0.643,1.0
1.0,1.0
1.0,1.0
0.525,1.0
0.283,1.0
0.142,1.0
0.734,1.0
0.723,1.0
0.457,1.0
0.507,1.0
0.58,1.0
0.516,1.0
1.0,1.0
0.703,1.0
0.836,1.0
1.0,1.0
0.583,1.0
0.613,1.0
0.691,1.0
0.208,1.0
0.513,1.0
0.693,1.0
0.234,1.0
0.586,1.0
0.846,1.0
0.245,1.0
1.0,1.0
0.249,1.0
0.933,1.0
1.0,1.0
0.822,1.0
0.275,1.0
0.92,1.0
1.0,1.0
0.51,1.0
0.847,1.0
0.412,1.0
1.0,1.0
0.175,1.0
0.67,1.0
0.964,1.0
0.964,1.0
0.422,1.0
0.376,1.0
0.439,1.0
0.76,1.0
0.875,1.0
0.59,1.0
0.733,1.0
0.551,1.0
0.707,1.0
0.738,1.0
0.8,1.0
0.156,1.0
0.463,1.0
1.0,1.0
0.698,1.0
0.756,1.0
0.787,1.0
0.724,1.0
0.512,1.0
0.134,1.0
0.721,1.0
0.606,1.0
1.0,1.0
0.9,1.0
0.43,1.0
0.826,1.0
0.504,1.0
0.479,1.0
0.904,1.0
0.91,1.0
0.589,1.0
0.84,1.0
0.593,1.0
0.595,1.0
0.288,1.0
0.225,1.0
1.0,1.0
0.687,1.0
0.994,1.0
0.218,1.0
0.484,1.0
0.651,1.0
1.0,1.0
0.309,1.0
0.322,1.0
1.0,1.0
0.437,1.0
0.775,1.0
0.802,1.0
0.533,1.0
0.551,1.0
0.277,1.0
0.613,1.0
0.438,1.0
1.0,1.0
0.359,1.0
0.573,1.0
0.515,1.0
1.0,1.0
0.99,1.0
0.591,1.0
0.626,1.0
1.0,1.0
0.381,1.0
0.74,1.0
0.807,1.0
0.917,1.0
1.0,1.0
0.505,1.0
0.984,1.0
0.497,1.0
1.0,1.0
0.995,1.0
0.914,1.0
0.298,1.0
0.556,1.0
1.0,1.0
0.487,1.0
0.672,1.0
0.948,1.0
0.885,1.0
0.371,1.0
0.49,1.0
0.319,1.0
0.708,1.0
1.0,1.0
1.0,1.0
0.17,1.0
0.622,1.0
0.608,1.0
0.967,1.0
0.331,1.0
0.662,1.0
0.622,1.0
0.42,1.0
0.47,1.0
0.865,1.0
1.0,1.0
0.498,1.0
0.436,1.0
0.834,1.0
0.487,1.0
1.0,1.0
0.74,1.0
0.739,1.0
0.949,1.0
0.778,1.0
1.0,1.0
0.471,1.0
0.698,1.0
0.983,1.0
0.51,1.0
0.813,1.0
0.286,1.0
0.705,1.0
0.874,1.0
0.492,1.0
0.737,1.0
0.709,1.0
0.581,1.0
0.504,1.0
0.988,1.0
0.51,1.0
0.711,1.0
0.657,1.0
0.845,1.0
1.0,1.0
0.615,1.0
0.51,1.0
0.599,1.0
0.573,1.0
0.91,1.0
0.098,1.0
0.828,1.0
0.916,1.0
0.284,1.0
0.227,1.0
0.893,1.0
0.916,1.0
0.488,1.0
0.208,1.0
0.692,1.0
0.748,1.0
1.0,1.0
0.279,1.0
0.836,1.0
0.269,1.0
0.625,1.0
0.493,1.0
0.945,1.0
0.579,1.0
0.744,1.0
0.252,1.0
0.488,1.0
0.192,1.0
0.135,1.0
0.554,1.0
0.437,1.0
0.845,1.0
1.0,1.0
0.575,1.0
0.92,1.0
0.682,1.0
0.891,1.0
1.0,1.0
0.5,1.0
0.303,1.0
1.0,1.0
0.489,1.0
0.957,1.0
1.0,1.0
0.84,1.0
0.009,1.0
0.772,1.0
1.0,1.0
0.908,1.0
0.759,1.0
0.672,1.0
0.995,1.0
0.888,1.0
0.591,1.0
0.995,1.0
0.803,1.0
0.848,1.0
0.626,1.0
0.935,1.0
0.658,1.0
0.938,1.0
0.647,1.0
0.568,1.0
0.726,1.0
0.257,1.0
0.653,1.0
0.355,1.0
0.574,1.0
0.826,1.0
0.908,1.0
0.781,1.0
0.718,1.0
0.542,1.0
0.548,1.0
0.593,1.0
0.534,1.0
1.0,1.0
0.624,1.0
0.556,1.0
0.504,1.0
0.718,1.0
0.955,1.0
0.648,1.0
0.62,1.0
0.599,1.0
0.652,1.0
0.383,1.0
0.326,1.0
0.972,1.0
0.824,1.0
0.794,1.0
0.599,1.0
0.122,1.0
0.232,1.0
0.609,1.0
0.975,1.0
0.678,1.0
0.997,1.0
1.0,1.0
0.545,1.0
1.0,1.0
0.501,1.0
0.301,1.0
0.815,1.0
0.558,1.0
0.379,1.0
0.178,1.0
0.53,1.0
0.821,1.0
0.649,1.0
0.339,1.0
0.868,1.0
0.32,1.0
0.598,1.0
0.96,1.0
0.647,1.0
0.839,1.0
0.737,1.0
0.194,1.0
0.678,1.0
0.808,1.0
0.695,1.0
1.0,1.0
0.687,1.0
0.194,1.0
0.779,1.0
0.566,1.0
0.569,1.0
1.0,1.0
0.186,1.0
0.315,1.0
0.34,1.0
0.441,1.0
0.42,1.0
0.793,1.0
1.0,1.0
0.771,1.0
0.587,1.0
0.506,1.0
1.0,1.0
0.808,1.0
0.797,1.0
0.837,1.0
0.511,1.0
0.217,1.0
0.878,1.0
0.696,1.0
0.962,1.0
0.624,1.0
0.87,1.0
0.928,1.0
0.41,1.0
0.658,1.0
0.266,1.0
1.0,1.0
0.697,1.0
0.483,1.0
0.914,1.0
0.229,1.0
1.0,1.0
0.583,1.0
0.531,1.0
0.279,1.0
0.956,1.0
0.924,1.0
0.51,1.0
0.507,1.0
0.58,1.0
0.409,1.0
0.861,1.0
0.664,1.0
0.874,1.0
0.421,1.0
0.203,1.0
0.407,1.0
0.266,1.0
0.655,1.0
0.262,1.0
0.313,1.0
0.94,1.0
0.609,1.0
0.696,1.0
0.951,1.0
0.315,1.0
0.219,1.0
0.939,1.0
0.275,1.0
